SATKER;TGL_DIFF;UP;PAGU;REALISASI;PAGU52;REAL52;PAGU53;REAL53;REALGUP
641499;5;120000000;24527803000;14943871387;12320657000;6757068900;125000000;124500000;114184800
119036;5;6000000;552941000;108622966;552941000;108622966;0;0;5850000
428258;8;50000000;5703154000;3824663034;3122175000;2078736463;0;0;29670247
406402;12;30000000;9523262000;5786865308;5442466000;3193107308;0;0;29997600
574370;16;15000000;2105071000;1067596367;697278000;325588000;58800000;33000000;15000000
428242;13;60000000;9962056000;5645302898;6750333000;3420664983;0;0;59917634
682892;15;60000000;1939726000;901317615;1933376000;901317615;6350000;0;41987086
641499;15;120000000;24527803000;14943871387;12320657000;6757068900;125000000;124500000;101140000
450573;15;120000000;35832779000;19538731065;9319739000;3960958430;0;0;63533870
431142;15;48000000;9336655000;2503421109;8020096000;1714069624;44115000;20965000;46194083
431164;21;30000000;9610679000;3449667358;7658102000;2324548819;34722000;21232000;26959500
632160;21;300000000;1,20169E+11;35449391690;43406093000;11281858329;29490658000;399065929;174268327
597541;23;45000000;4164040000;2316611666;1207608000;573189928;70000000;49913000;44916210
662110;23;18000000;3453866000;1859898566;398886000;161868370;87100000;48911250;16000000
418310;16;54000000;1722484000;646236555;1708067000;637319755;14417000;8916800;31278300
667222;17;30000000;8235631000;4430398535;3526535000;2134814055;249000000;203821225;29994849
553792;21;30000000;3550824000;2056627031;794243000;362957000;118727000;108538000;30000000
401656;86;56250000;2,38731E+11;1,00662E+11;2,38596E+11;1,00662E+11;135160000;0;56250000
413256;22;30000000;21427361000;11498068706;5358221000;3093219288;0;0;27722966
653705;24;8000000;734681000;282657893;232110000;65446727;0;0;4539808
425369;13;210000000;25085746000;17163909588;14975121000;10131211128;1828000000;1424096500;193638500
418400;16;30000000;2040082000;1185909364;846098000;511255037;32000000;31975000;28615228
352639;8;300000000;28236181000;22099330468;8318106000;4981545550;0;0;297163650
424239;11;18000000;5885015000;3653059353;975148000;622599190;120000000;119946000;18000000
681312;18;2211000;1845777000;1008244928;730747000;421837000;32050000;16000000;2211000
654886;18;300000000;75846139000;46610823617;19774735000;9836935243;0;0;234080300
440551;18;10000000;2182420000;1348991294;735930000;471945130;32000000;32000000;9999400
425369;14;210000000;25085746000;17163909588;14975121000;10131211128;1828000000;1424096500;203412017
418462;15;25000000;1959247000;1190973680;525542000;262691000;55500000;55500000;16180000
406402;2;30000000;9523262000;5786865308;5442466000;3193107308;0;0;30000000
654872;9;300000000;36420431000;23545960499;12070614000;6389938032;0;0;298890000
654872;17;300000000;36420431000;23545960499;12070614000;6389938032;0;0;153265000
440503;23;65000000;7861293000;3642066886;1784590000;722391484;1420000000;402524628;54835525
641571;1;33000000;98712647000;36255128982;62870634000;25915364574;30227700000;7155747775;32160000
406375;9;150000000;24905476000;13835795726;17798052000;9491083070;0;0;76017440
426072;13;30000000;4284145000;2482160413;1029773000;569188689;18000000;8000000;29788600
424245;23;30000000;6678704000;4150150268;1019108000;435100000;296700000;153300000;30000000
631158;26;36000000;3065404000;1221196427;2865404000;1214716427;100000000;0;33355733
406426;29;50000000;5453958000;3380436224;3514645000;1930522201;100000000;0;50000000
119004;30;75000000;1111575000;611124935;1111575000;611124935;0;0;42812069
418461;30;2000000;799841000;454670692;173830000;56646367;0;0;1037300
427454;9;60000000;11504211000;3983356598;2222820000;1020901225;90000000;0;52666975
656560;9;24000000;2644398000;1213770350;972493000;275185799;0;0;21500000
686250;1;440000000;47306926000;21653421897;34318902000;12682999448;0;0;151243240
675094;22;5656800;1605171000;730379699;540841000;320786600;14500000;14500000;5656800
418374;7;39000000;9163495000;6418899210;1613048000;968666000;375000000;363115000;39000000
119036;7;6000000;552941000;108622966;552941000;108622966;0;0;5790000
432841;12;300000000;30567108000;17977715283;15740163000;8415046474;3601445000;2666965759;169362226
653699;27;20000000;2138839000;1257383376;914310000;564116572;32000000;21886000;19878832
656574;28;15000000;3183354000;1785243641;958506000;300503644;0;0;9413000
665292;4;393857200;59020973000;34290731262;17415837000;8190241796;0;0;236434300
650113;1;19800000;4517989000;2265231423;900035000;450806862;19500000;19468000;700000
119138;1;34200000;862800000;614150057;862800000;614150057;0;0;3000000
672969;2;20000000;3967705000;2307741360;1405737000;869564696;87500000;84250000;19839975
670561;5;15000000;4815085000;1841574365;3638553000;1153393700;50785000;0;14998258
672851;9;15000000;4405499000;1939111643;2071211000;883098801;676595000;44128050;14973860
431170;10;20000000;8645755000;3633240122;5434022000;2412467810;1550785000;370150942;18539900
669254;13;48000000;15715554000;9735142298;5214803000;3324835251;0;0;46290000
414540;20;120000000;19065522000;8998344901;11350732000;4799106399;1032400000;697045705;119261997
406494;8;45000000;9816496000;5450292230;5461321000;2802257227;0;0;43446000
408143;8;60000000;10797007000;6057234432;5580386000;2675268891;71888000;69947000;50776887
410574;8;120000000;12933145000;7153145110;6165714000;3691440715;284993000;0;117955950
650114;22;16200000;10128619000;4902535204;816009000;330926252;186000000;85220000;13913628
650117;22;3600000;471454000;237910535;193250000;85076575;0;0;3180333
653705;27;8000000;734681000;282657893;232110000;65446727;0;0;5419816
402639;23;13000000;153000000;107630000;153000000;107630000;0;0;12700000
663212;28;4000000;175700000;88918400;175700000;88918400;0;0;3445700
686250;1;440000000;47306926000;21653421897;34318902000;12682999448;0;0;101457145
99003;4;36000000;6090892000;2990155812;1686481000;938379117;77500000;77150000;25076599
401946;4;20000000;30819119000;2354652634;927824000;453537844;27771349000;723693301;18893695
